micro_b001_0		[[Yes, it's annoying and cumbersome to separate your rubbish properly all the time.]]	 Three different bin bags stin
micro_b057_2	 almost 20 (!!!) years to go? 	[[Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.]]	 Especially now, as there is a
micro_b057_3	for private/personal reasons. 	[[Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.]]	
micro_b058_0		[[Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!]]	 It would be fair to make them
micro_b058_1	 than any sport in the world! 	[[It would be fair to make them into an Olympic event.]]	 Perhaps it is less thrilling 
micro_b058_2	e them into an Olympic event. 	[[Perhaps it is less thrilling for a spectator than for the player, but also for contemporary Olympic events, I recall curling and 50km cross-country skiing, you have to be more than a freak to follow those more properly than only in the roundup of highlights.]]	 Plus the hurdle to make video
micro_b058_3	in the roundup of highlights. 	[[Plus the hurdle to make video games Olympic events is minimal, as you don't even need doping tests, only a neutral console.]]	 And many a video game is phys
micro_b058_4	ests, only a neutral console. 	[[And many a video game is physically and particularly mentally more demanding, when I think of the last FIFA tournament's final, than kicking a ball 20 metres.]]	
micro_b059_0		[[Rent prices are already regulated in favour of tenants due to existing laws and the rent index.]]	 In view of the high prices fo
micro_b059_1	ting laws and the rent index. 	[[In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.]]	 Even if one might think that 
micro_b059_2	e an unattractive investment. 	[[Even if one might think that additional rent control is needed besides the current tenant protection, one should not deny longstanding owners the opportunity to adjust their returns to market level.]]	 A cap on rent increases upon 
micro_b059_3	heir returns to market level. 	[[A cap on rent increases upon tenant change is therefore not to be supported.]]	
micro_b060_0		[[Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays, then again supermarkets and large shopping centres dominate the market today already.]]	 Thus smaller shops could bene
micro_b060_1	ate the market today already. 	[[Thus smaller shops could benefit from the additional freedom, as customers are on average more laid-back on Sunday.]]	 Opening on Sundays and holida
micro_b060_2	age more laid-back on Sunday. 	[[Opening on Sundays and holidays would therefore help both customers and shops.]]	
micro_b061_0		[[Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.]]	 In individual cases they may 
micro_b061_1	gh personnel to enforce them. 	[[In individual cases they may indeed act as a deterrent, in general, however, a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine.]]	
micro_b062_0		[[I am not of the opinion that the retirement age should be set at 63 years.]]	 This would mean that organiza
micro_b062_1	ge should be set at 63 years. 	[[This would mean that organizations would be lacking a great deal of manpower in the future.]]	 The introductory phase of ret
micro_b062_2	al of manpower in the future. 	[[The introductory phase of retirement at 63 would also be a particular challenge as upon introduction many current employees of advanced age would immediately be eligible to retire.]]	 This is detrimental for Germa
micro_b062_3	iately be eligible to retire. 	[[This is detrimental for Germany as a business location and leaves employers without a transition period.]]	 The danger here is that exper
micro_b062_4	 without a transition period. 	[[The danger here is that experienced junior staff is not available in sufficient numbers.]]	
micro_b064_0		[[I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.]]	 For safety reasons alone I fi
micro_b064_1	lane catastrophe for decades. 	[[For safety reasons alone I find continued operation wrong.]]	 Also, Berlin urgently needs i
micro_b064_2	nd continued operation wrong. 	[[Also, Berlin urgently needs inner-city areas for business and industry, and for housing.]]	 Closing down Tegel will have 
micro_b064_3	nd industry, and for housing. 	[[Closing down Tegel will have health benefits for hundreds of thousands in the approach path.]]	 These areas will be upgraded 
micro_b064_4	ousands in the approach path. 	[[These areas will be upgraded economically due to these factors (housing health and employment).]]	 After the new BER Airport has
micro_b064_5	using health and employment). 	[[After the new BER Airport has been commissioned, Tegel should definitely be closed.]]	
micro_d01_0		[[Freddy and I must be siblings.]]	 We both have the exact same t
micro_d01_1	reddy and I must be siblings. 	[[We both have the exact same two moles on our left arm and you only get that with siblings.]]	 My parents say this could als
micro_d01_2	 only get that with siblings. 	[[My parents say this could also be pure coincidence.]]	 But that much of a coincidenc
micro_d01_3	uld also be pure coincidence. 	[[But that much of a coincidence is simply impossible.]]	
micro_d02_0		[[Berlin's basketball team has just come out of a sobering season.]]	 Especially the home games hav
micro_d02_1	ome out of a sobering season. 	[[Especially the home games have seen the team stay behind expectations.]]	 A sad highlight: Losing 60:87
micro_d02_2	eam stay behind expectations. 	[[A sad highlight: Losing 60:87 to the weakish Mannheimers in a sold-out stadium.]]	 Indeed the team ended up thir
micro_d02_3	eimers in a sold-out stadium. 	[[Indeed the team ended up third in the league, but given the cost of the star-players one could've expected more.]]	
micro_d03_0		[[It was clearly a mistake to include Tom in our football team.]]	 He's just not a team player, 
micro_d03_1	ude Tom in our football team. 	[[He's just not a team player, and often goes it alone.]]	 Plus he comes to training way
micro_d03_2	yer, and often goes it alone. 	[[Plus he comes to training way too rarely, although he plays very well without training.]]	 But the worst thing is his ha
micro_d03_3	s very well without training. 	[[But the worst thing is his habit of always complaining to the referee.]]	
micro_d04_0		[[Anti-virus software protects the users of a computer from dangers from the internet.]]	 That's why everyone should ha
micro_d04_1	om dangers from the internet. 	[[That's why everyone should have an anti-virus programme on his or her Windows machine.]]	 Admittedly they do not genera
micro_d04_2	n his or her Windows machine. 	[[Admittedly they do not generally prevent you from catching a virus, since they can only react to publicly known threats.]]	 But once a safeguard has been
micro_d04_3	ct to publicly known threats. 	[[But once a safeguard has been found against a new virus, everyone gets it in no time through the automatic update.]]	
micro_d05_0		[[Today I will delete my Facebook account.]]	 Not only because I'm constant
micro_d05_1	l delete my Facebook account. 	[[Not only because I'm constantly astonished about who wants to be my friend.]]	 I'm also tired of my data boo
micro_d05_2	ut who wants to be my friend. 	[[I'm also tired of my data boosting the market value of that corporation.]]	 Facebook warns me emphaticall
micro_d05_3	et value of that corporation. 	[[Facebook warns me emphatically that I may lose contact with my friends.]]	 And yet now I'll actually hav
micro_d05_4	lose contact with my friends. 	[[And yet now I'll actually have all the more time for them.]]	
micro_d06_0		[[Peter should close his snack bar as soon as possible.]]	 Pricing pressures are just to
micro_d06_1	nack bar as soon as possible. 	[[Pricing pressures are just too high, and his pool of customers is shrinking constantly.]]	 Of course he could do another
micro_d06_2	mers is shrinking constantly. 	[[Of course he could do another big ad campaign, but that won't do the trick if the whole neighbourhood is going down the drain in the end.]]	
micro_d07_0		[[The current tour of Tokio Hotel is breaking all records.]]	 Never have there been longer 
micro_d07_1	otel is breaking all records. 	[[Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That.]]	 But at times even the online 
micro_d07_2	ring the heyday of Take That. 	[[But at times even the online sales outlets haven't been coping with the demand.]]	
micro_d08_0		[[Although IBM's numbers haven't been staggering recently, and the mood in the stock market could be better on the whole, you should buy IBM shares if you want to invest.]]	 Because for one thing, their 
micro_d08_1	shares if you want to invest. 	[[Because for one thing, their products will still sell in bad times, and in addition, such a share is not as sensitive as those of other IT companies.]]	
micro_d09_0		[[You should watch less television, as too much TV makes you stupid in the long run, like your brother.]]	 It would be an exception if y
micro_d09_1	 long run, like your brother. 	[[It would be an exception if you only watched quiz shows, but you tend to watch Big Brother and X-Diaries.]]	
micro_d10_0		[[In a few decades our society will have a disproportionate number of old people: the life expectancy is constantly rising, and at the same time birth rates are declining.]]	 Although having children has 
micro_d10_1	me birth rates are declining. 	[[Although having children has become more fashionable again in recent years, these short-term fluctuations in birth rates don't change the general trend at all.]]	
micro_d11_0		[[We should go to the Baltic Sea on the weekend.]]	 According to the weather repo
micro_d11_1	he Baltic Sea on the weekend. 	[[According to the weather report it'll be perfect beach weather, and one mustn't let this go to waste, even if I do have to prepare a presentation for Tuesday.]]	 Besides, I get to use my folk
micro_d11_2	e a presentation for Tuesday. 	[[Besides, I get to use my folks' big, comfy car.]]	
micro_d12_0		[[I can only recommend the new smartphone XYZ-123 to everyone.]]	 Of course the camera could be
micro_d12_1	artphone XYZ-123 to everyone. 	[[Of course the camera could be better, as it only has mediocre resolution and images in dark surroundings are often snowy.]]	 But for snap shots that's sti
micro_d12_2	surroundings are often snowy. 	[[But for snap shots that's still enough.]]	
micro_d13_0		[[Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case.]]	 When he got back from Ralf's 
micro_d13_1	tion of alcohol just in case. 	[[When he got back from Ralf's party last night he was still stone-cold sober.]]	 Thus one of his ex-girlfriend
micro_d13_2	e was still stone-cold sober. 	[[Thus one of his ex-girlfriends must have been there.]]	 Ralf does insist that they dr
micro_d13_3	friends must have been there. 	[[Ralf does insist that they drank advocaat together.]]	 But even without an ex-girlfr
micro_d13_4	they drank advocaat together. 	[[But even without an ex-girlfriend he would never touch that.]]	
micro_d14_0		[[I think Fritz has never been in a fight in his life.]]	 As a boy he did use to scuffl
micro_d14_1	 been in a fight in his life. 	[[As a boy he did use to scuffle with the other choirboys, but that hardly counts as a proper brawl.]]	 And he always chickens out wh
micro_d14_2	dly counts as a proper brawl. 	[[And he always chickens out when things get dicey.]]	 Yesterday, when the bouncer w
micro_d14_3	ns out when things get dicey. 	[[Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.]]	
micro_d15_0		[[Every day passengers are harassed by hooligans and drunks on the underground, trains and busses.]]	 Also the rules of the public 
micro_d15_1	derground, trains and busses. 	[[Also the rules of the public transportation services are rarely observed.]]	 This is why we need more poli
micro_d15_2	services are rarely observed. 	[[This is why we need more police presence in public transport, even if there are actually designated in-house security forces.]]	 Passengers would definitely f
micro_d15_3	ted in-house security forces. 	[[Passengers would definitely feel safer then.]]	
micro_d16_0		[[There are parliamentary elections soon and traditionally the governing party is generous with popular promises in the run-up to federal elections.]]	 Nevertheless the head of gove
micro_d16_1	 run-up to federal elections. 	[[Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.]]	 Voters have become more scept
micro_d16_2	nnouncing handouts this year. 	[[Voters have become more sceptical.]]	 Too many promises have not be
micro_d16_3	s have become more sceptical. 	[[Too many promises have not been kept.]]	
micro_d17_0		[[Excessive consumption of meat is unhealthy.]]	 Furthermore, the production o
micro_d17_1	umption of meat is unhealthy. 	[[Furthermore, the production of meat is comparably resource-intensive.]]	 We should thus all limit our 
micro_d17_2	omparably resource-intensive. 	[[We should thus all limit our consumption of meat rigorously.]]	 One could worry that our farm
micro_d17_3	nsumption of meat rigorously. 	[[One could worry that our farmers would then run into economic difficulties.]]	 However, no serious economist
micro_d17_4	n into economic difficulties. 	[[However, no serious economist has confirmed this prediction to date.]]	
micro_d18_0		[[Schweinsteiger has now been injured for three days.]]	 We urgently need a midfield r
micro_d18_1	 been injured for three days. 	[[We urgently need a midfield replacement for the coming match.]]	 The doctor was able to sign h
micro_d18_2	acement for the coming match. 	[[The doctor was able to sign him off as fit for play with enough painkillers, but that would only make the injury worse in the long run.]]	 And a young substitute always
micro_d18_3	injury worse in the long run. 	[[And a young substitute always invigorates the team.]]	
micro_d19_0		[[A bank bailout is very, very costly.]]	 For instance, the taxpayer st
micro_d19_1	bailout is very, very costly. 	[[For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.]]	 That's why we should not allo
micro_d19_2	 three-figure billion amount. 	[[That's why we should not allow any additional bank rescues.]]	 The politicians are trying to
micro_d19_3	 any additional bank rescues. 	[[The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.]]	 But even with that tiny amoun
micro_d19_4	 that money was really spent. 	[[But even with that tiny amount you could do a lot of good elsewhere.]]	
micro_d20_0		[[The prototype of Audi's new sports car has car lovers raving.]]	 The steering system may still
micro_d20_1	ts car has car lovers raving. 	[[The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty.]]	 But aside from that the car c
micro_d20_2	eding a lot with that beauty. 	[[But aside from that the car caters to pretty much every wish.]]	
micro_d21_0		[[Energy saving light bulbs contain a significant amount of toxins.]]	 A commercially available bulb
micro_d21_1	significant amount of toxins. 	[[A commercially available bulb may contain for example up to five milligrams of mercury.]]	 That's why they should be tak
micro_d21_2	o five milligrams of mercury. 	[[That's why they should be taken off the market, unless they're unbreakable.]]	 But precisely this is unfortu
micro_d21_3	, unless they're unbreakable. 	[[But precisely this is unfortunately not the case.]]	
micro_d22_0		[[Large events that stir national or even international attention attract many visitors, and nothing will get Berlin out of its financial jam more than a lot of spending visitors.]]	 Hence the Mayor of Berlin oug
micro_d22_1	n a lot of spending visitors. 	[[Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.]]	 Of course a higher federal su
micro_d22_2	ch events as low as possible. 	[[Of course a higher federal subsidy would be even better for Berlin's coffers, but you shouldn't bother hoping for that.]]	
micro_d23_0		[[Tomorrow I will skydive for the first time in my life.]]	 Yes, there is a certain risk 
micro_d23_1	or the first time in my life. 	[[Yes, there is a certain risk to life.]]	 But I want to experience this
micro_d23_2	re is a certain risk to life. 	[[But I want to experience this incredible moment of freedom that skydivers report time and again.]]	 Besides, Jochen was given a p
micro_d23_3	divers report time and again. 	[[Besides, Jochen was given a parachute jump the other day as a gift, and it mustn't be that this wannabe-adventurer has one up on me.]]	
micro_k001_0		[[Not everyone should be obliged to pay the TV & radio licence.]]	 Particularly the younger gene
micro_k001_1	o pay the TV & radio licence. 	[[Particularly the younger generations are no longer dependent on the programming of public broadcasters.]]	 US series are preferred over 
micro_k001_2	mming of public broadcasters. 	[[US series are preferred over “Tatort”, and online magazines are turned to instead of the “Tagesthemen”.]]	 The TV & radio licence enable
micro_k001_3	instead of the “Tagesthemen”. 	[[The TV & radio licence enables economically independent journalism.]]	 But as long as the licence pa
micro_k001_4	cally independent journalism. 	[[But as long as the licence payers have no say in the distribution of the funds, the fee quite rightly annoys them.]]	
micro_k002_0		[[Actually it would be justified if all German universities charged tuition fees.]]	 As long as it is ensured that
micro_k002_1	rsities charged tuition fees. 	[[As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice.]]	 Those who study later decide 
micro_k002_2	egard this as social justice. 	[[Those who study later decide this early on, anyway.]]	 It's always possible to take 
micro_k002_3	decide this early on, anyway. 	[[It's always possible to take out a student loan or to earn a scholarship.]]	 To oblige non-academics to fi
micro_k002_4	oan or to earn a scholarship. 	[[To oblige non-academics to finance others' degrees through taxes, however, is not just.]]	
micro_k003_0		[[Usually you only have eight weeks to complete a bachelor thesis in linguistics degrees.]]	 Adjusting the portion of the 
micro_k003_1	hesis in linguistics degrees. 	[[Adjusting the portion of the total grade upwards anyway would not be commensurate to other study assignments and examinations.]]	 Current regulations for the c
micro_k003_2	assignments and examinations. 	[[Current regulations for the calculation of the total grade should therefore be maintained.]]	 Indeed the preparation of suc
micro_k003_3	ould therefore be maintained. 	[[Indeed the preparation of such a scientific work is a fundamental competency that must be acquired in philological degrees.]]	 Throughout the six or seven s
micro_k003_4	ired in philological degrees. 	[[Throughout the six or seven semesters, however, topics are covered that likewise ought to carry weight.]]	
micro_k004_0		[[Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.]]	 This may be a change for the 
micro_k004_1	 on any Sundays and holidays. 	[[This may be a change for the employees that cannot to be implemented easily.]]	 However, especially for worki
micro_k004_2	not to be implemented easily. 	[[However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.]]	 Considering the growing digit
micro_k004_3	g peak times during the week. 	[[Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.]]	 Many European countries, for 
micro_k004_4	eekend will soon be obsolete. 	[[Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.]]	
micro_k006_0		[[If Germany were to introduce the death penalty, convicted felons could not be paroled or break out of prison and commit new felonies.]]	 However, a death would not be
micro_k006_1	ison and commit new felonies. 	[[However, a death would not be of any more use to those affected and their relatives than if the felon receives a long sentence.]]	 Plus we don't live in medieva
micro_k006_2	lon receives a long sentence. 	[[Plus we don't live in medieval times anymore.]]	 Handing out capital punishmen
micro_k006_3	ve in medieval times anymore. 	[[Handing out capital punishment is unethical.]]	 We don't need it.
micro_k006_4	ital punishment is unethical. 	[[We don't need it.]]	
micro_k007_0		[[Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.]]	 For in this way, Sunday shopp
micro_k007_1	holidays at their discretion. 	[[For in this way, Sunday shopping days would be better spread out through the year.]]	 Also streets and shops would 
micro_k007_2	 spread out through the year. 	[[Also streets and shops would presumably be emptier as not everyone would be open on the same day.]]	 However then you'd have a wor
micro_k007_3	ould be open on the same day. 	[[However then you'd have a worse overview of which shop is open on a given day.]]	
micro_k008_0		[[If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt, which in turn would result in generally clean pavements.]]	 Higher fines may not be ideal
micro_k008_1	in generally clean pavements. 	[[Higher fines may not be ideal, particularly for financially weaker individuals, but cleaning up after their dogs does happen to be the obligation of the owners.]]	
micro_k009_0		[[Germany should by no means introduce capital punishment.]]	 If there were capital punishm
micro_k009_1	introduce capital punishment. 	[[If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives.]]	 Capital punishment would be m
micro_k009_2	rs and rule over their lives. 	[[Capital punishment would be murder and would have to be punished with the death penalty itself.]]	 What, then, ought to be done 
micro_k009_3	ith the death penalty itself. 	[[What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on although they have taken or destroyed another life?]]	 Yes, for it is a much graver 
micro_k009_4	en or destroyed another life? 	[[Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.]]	
micro_k010_0		[[Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.]]	 In some cases there are only 
micro_k010_1	t to) follow the programming. 	[[In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?]]	 By now you have advertising o
micro_k010_2	should everyone pay for this? 	[[By now you have advertising on all channels, so there's no advantage for the current paying viewers of the public broadcasters.]]	 Nevertheless one has to point
micro_k010_3	s of the public broadcasters. 	[[Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.]]	 That shouldn't be an issue th
micro_k010_4	ermany that’s obliged to pay. 	[[That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway.]]	
micro_k011_0		[[Rent increases upon re-letting aren't bad as such, if it's only a small amount, With those kinds of amounts you think twice about whether you really want to stay in the flat.]]	 If there must be rent increas
micro_k011_1	lly want to stay in the flat. 	[[If there must be rent increases, there should also be a cap to avoid nasty surprises.]]	 This helps the landlords, as 
micro_k011_2	cap to avoid nasty surprises. 	[[This helps the landlords, as they can adjust their expenses through the increase, and also the tenants, as they can plan for a maximum rent increase.]]	 That the landlords are then s
micro_k011_3	 for a maximum rent increase. 	[[That the landlords are then slightly restricted in the administration of their property is not a problem, as they have more pull in the end anyway.]]	 they’re very bad however, if 
micro_k011_4	 more pull in the end anyway. 	[[they’re very bad however, if the rent suddenly climbs by €100 or €200.]]	
micro_k012_0		[[German universities should on no account charge tuition fees.]]	 This would simply mean that o
micro_k012_1	 account charge tuition fees. 	[[This would simply mean that only those people with wealthy parents or a previous education and a part-time job while studying would be able to apply for a degree programme in the first place.]]	 Even without tuition fees hal
micro_k012_2	programme in the first place. 	[[Even without tuition fees half of the student population has to work while studying and hence has less time for studying or recreation.]]	 One could argue that an incre
micro_k012_3	e for studying or recreation. 	[[One could argue that an increase in tuition fees would allow institutions to be better equipped.]]	 But what is the good of a won
micro_k012_4	utions to be better equipped. 	[[But what is the good of a wonderfully outfitted university if it doesn't actually allow the majority of clever people to broaden their horizons with all that great equipment?]]	
micro_k013_0		[[Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.]]	 Likewise public holidays shou
micro_k013_1	e right to a Sunday off work. 	[[Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper.]]	 Hence it is good when shops a
micro_k013_2	the annual paid leave proper. 	[[Hence it is good when shops are not open on Sundays and public holidays.]]	 People, however, who work dur
micro_k013_3	 Sundays and public holidays. 	[[People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.]]	 For those people the late ope
micro_k013_4	hop weekdays, but they can't. 	[[For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative.]]	
micro_k014_0		[[Intelligence services should be more closely regulated by parliament, for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.]]	 Checks could contribute to re
micro_k014_1	of its intelligence services. 	[[Checks could contribute to restricting the so far rather opaque scope of action of individual services.]]	 Yet it remains questionable w
micro_k014_2	ction of individual services. 	[[Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws, as ultimately this decision is in the hands of the respective government leaders.]]	
micro_k015_0		[[BER should be re-conceptualized from scratch, even if billions of Euros have already been invested in the existing airport project and this would delay the date of completion indefinitely.]]	 Both the drawn-out building o
micro_k015_1	e of completion indefinitely. 	[[Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.]]	
micro_k016_0		[[Despite the severe clashes in Kiev, which at times have threatened to escalate, the EU should not intervene in local politics.]]	 Although Ukraine is a Europea
micro_k016_1	 intervene in local politics. 	[[Although Ukraine is a European country, and the Ukrainian opposition is primarily interested in installing a robust democracy, possible supporters face a considerably stronger opponent in the intervention of Russia in local politics.]]	
micro_k017_0		[[The implementation of retirement at 63 is no longer socially sustainable, as the population in Germany has, viewed demographically, a disproportionate number of old people, and constantly declining birth rates are being recorded.]]	 Admittedly the number of immi
micro_k017_1	rth rates are being recorded. 	[[Admittedly the number of immigrants is constantly rising in Germany, but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.]]	
micro_k018_0		[[Our society is in danger of overheating due to 'never clocking off'.]]	 Even though politicians stres
micro_k018_1	 due to 'never clocking off'. 	[[Even though politicians stress the Christian character of our country, the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.]]	 But after all, the purpose of
micro_k018_2	ingly sacrificed to commerce. 	[[But after all, the purpose of having a day off is not just to make time to go to church.]]	 Rather it should give people 
micro_k018_3	to make time to go to church. 	[[Rather it should give people the chance to have a mental break.]]	 That's why there ought to be 
micro_k018_4	hance to have a mental break. 	[[That's why there ought to be one day a week when supermarkets and shopping centres stay closed.]]	
micro_k019_0		[[The thought of television exclusively made up of private channels scares me.]]	 Admittedly trash and turmoil 
micro_k019_1	f private channels scares me. 	[[Admittedly trash and turmoil are exactly what the majority of people want to see.]]	 But to therefore offer TV acc
micro_k019_2	jority of people want to see. 	[[But to therefore offer TV according to audience rates only would be dangerous.]]	 Only in public TV programmes 
micro_k019_3	ates only would be dangerous. 	[[Only in public TV programmes can viewers get information that is not profit-oriented.]]	 And since it is the duty of s
micro_k019_4	 that is not profit-oriented. 	[[And since it is the duty of society to collectively finance certain areas that cannot hold their own in a market economy, everyone should chip in.]]	
micro_k020_0		[[Despite the death penalty there are significantly more homicides in the US than in Germany.]]	 Fear of punishment hence does
micro_k020_1	es in the US than in Germany. 	[[Fear of punishment hence does not deter murderers.]]	 'An eye for an eye' seems to 
micro_k020_2	nce does not deter murderers. 	[['An eye for an eye' seems to miss the point.]]	 The state ought to prevent mu
micro_k020_3	eye' seems to miss the point. 	[[The state ought to prevent murder - not avenge it.]]	 A re-introduction of capital 
micro_k020_4	event murder - not avenge it. 	[[A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.]]	
micro_k021_0		[['Property entails commitment' is one of the tenets of our social order.]]	 Everyone should be able to ge
micro_k021_1	e tenets of our social order. 	[[Everyone should be able to get the utmost profit from his or her property.]]	 A fixing of rent prices accor
micro_k021_2	fit from his or her property. 	[[A fixing of rent prices according to the market alone, however, will lead to a further division of society.]]	 The rich and poor live in dif
micro_k021_3	 further division of society. 	[[The rich and poor live in different neighbourhoods.]]	 A constant increase in rent u
micro_k021_4	 in different neighbourhoods. 	[[A constant increase in rent upon a change of tenants hence cannot be desired by society.]]	
micro_k022_0		[[It is quite clear that Sunday should remain a day of rest.]]	 For you can go shopping 6 day
micro_k022_1	 should remain a day of rest. 	[[For you can go shopping 6 days a week, as shops are open till 10pm on some days.]]	 Thus Sundays should remain a 
micro_k022_2	 open till 10pm on some days. 	[[Thus Sundays should remain a day for getting together with family, otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc. Furthermore, there's no need to keep shops open on Sundays.]]	
micro_k023_0		[[The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.]]	 For a good overall grade open
micro_k023_1	stitute a larger share of it. 	[[For a good overall grade opens many doors, but is not of top priority for employers.]]	 With a BA dissertation one ca
micro_k023_2	f top priority for employers. 	[[With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well.]]	 After all one doesn't excel i
micro_k023_3	 expertise particularly well. 	[[After all one doesn't excel in every subject.]]	
micro_k024_0		[[Dog owners should pay higher fines for dog dirt left on pavements, although there aren't enough bins and bag-dispensers for dog dirt.]]	 One reason for this is that t
micro_k024_1	 bag-dispensers for dog dirt. 	[[One reason for this is that they have thus far hardly had to fear the consequences despite the obligation to clean up.]]	 A higher fine, so dog owners 
micro_k024_2	e the obligation to clean up. 	[[A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all.]]	 The city, especially the gree
micro_k024_3	 to be a deterrent after all. 	[[The city, especially the green spaces, should be kept tidy after all, for they are there for our recreation.]]	 Besides you're not allowed to
micro_k024_4	are there for our recreation. 	[[Besides you're not allowed to leave other rubbish without punishment.]]	
micro_k025_0		[[Capital punishment is not a solution, as it cannot be ruled out that the judicial process may make mistakes.]]	 Criminals should not be put i
micro_k025_1	al process may make mistakes. 	[[Criminals should not be put in luxury prisons, though.]]	 After all there are criminals
micro_k025_2	ut in luxury prisons, though. 	[[After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.]]	 Still, the state needs the de
micro_k025_3	be paid, no stress with work. 	[[Still, the state needs the death penalty as a deterrent to horrific crimes.]]	
micro_k027_0		[[The TV license fee should only be collected from those who actually make use of the programming of the public broadcasters.]]	 After all there are many peop
micro_k027_1	g of the public broadcasters. 	[[After all there are many people in Germany who pay the fee although they merely use a computer to work.]]	 Yet the fees are demanded fro
micro_k027_2	erely use a computer to work. 	[[Yet the fees are demanded from everybody who does not apply for a waiver, no matter how many receiver devices actually exist in the household and how they are being used.]]	 However it is obvious that th
micro_k027_3	 and how they are being used. 	[[However it is obvious that the license fee officers are not in a position to check the usage of every single device.]]	
micro_k029_0		[[No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.]]	 Though there'd be the advanta
micro_k029_1	 the counter at the pharmacy. 	[[Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic, women should still be informed about the risks and have a gynaecological examination before taking it.]]	 Furthermore there's the risk 
micro_k029_2	examination before taking it. 	[[Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.]]	
micro_k031_0		[[Pieces of dog poo on the pavements are a real danger.]]	 Time and again children or th
micro_k031_1	 pavements are a real danger. 	[[Time and again children or the elderly slip on them.]]	 A fine for leaving dog waste 
micro_k031_2	 or the elderly slip on them. 	[[A fine for leaving dog waste behind admittedly seems rather authoritarian, but similar rules are often in place for bicycles on park paths, after all.]]	 Increasing penalties is there
micro_k031_3	les on park paths, after all. 	[[Increasing penalties is therefore the right way.]]	 A dog dirt-free city will be 
micro_k031_4	s is therefore the right way. 	[[A dog dirt-free city will be more attractive not only for its residents but also for tourists!]]	
